,rank,feature,mean_abs_shap
0,1,FiO2+100%mean,0.6591879025311221
1,2,GCST+100%mean,0.4770615239313046
2,3,Lactate+100%mean,0.4203634696835263
3,4,Urea+100%mean,0.3598211836967162
4,5,Ph+100%mean,0.31102174670527866
5,6,Age,0.3089859254481837
6,7,PaCO2+100%mean,0.2402378483341717
7,8,Temp+100%mean,0.2389001223524173
8,9,Natrium+100%mean,0.21239475450709777
9,10,ASAT+100%mean,0.2082429540831974
10,11,Height+100%mean,0.176532110946772
11,12,HR+100%mean,0.16452500400608364
12,13,ALAT+100%mean,0.15805029447059582
13,14,Albumin+100%mean,0.15605751419371947
14,15,Quick+100%mean,0.13917392317703875
15,16,Leukocyten+100%mean,0.13873925391620165
16,17,GLU+100%mean,0.1373908997359293
17,18,HCO3+100%mean,0.1321606077609628
18,19,Thrombocyten+100%mean,0.13077477098881432
19,20,Kalium+100%mean,0.10768288560371447
20,21,MBP+100%mean,0.0990822345117333
21,22,RR+100%mean,0.08858677791083269
22,23,AnionGAP+100%mean,0.08460232156854712
23,24,PaO2+100%mean,0.07125237401376829
24,25,Kreatinin+100%mean,0.06558017906241496
25,26,Bmi+100%mean,0.06465602110595581
26,27,Hb+100%mean,0.0632357210701618
27,28,Weight+100%mean,0.05996644083092466
28,29,Sex,0.04439524235188056
29,30,Bilirubin+100%mean,0.029290285515089148
