,rank,feature,mean_abs_shap
0,1,FiO2+100%mean,0.6640955022473533
1,2,GCST+100%mean,0.47581298274210443
2,3,Lactate+100%mean,0.42400051089658614
3,4,Urea+100%mean,0.3541504492136743
4,5,Ph+100%mean,0.31259021975022916
5,6,Age,0.3076620182939261
6,7,PaCO2+100%mean,0.2409631872331123
7,8,Temp+100%mean,0.23543913798373903
8,9,Natrium+100%mean,0.21208662522430283
9,10,ASAT+100%mean,0.2062279647050817
10,11,Height+100%mean,0.16932578214372035
11,12,HR+100%mean,0.1646416697293075
12,13,ALAT+100%mean,0.16233558351033053
13,14,Albumin+100%mean,0.1557428815486885
14,15,Leukocyten+100%mean,0.13857678525703002
15,16,Quick+100%mean,0.1352462283183523
16,17,GLU+100%mean,0.13349800203891077
17,18,Thrombocyten+100%mean,0.13067574632706877
18,19,HCO3+100%mean,0.12843463320983964
19,20,Kalium+100%mean,0.10623169796202711
20,21,MBP+100%mean,0.09824195379055768
21,22,RR+100%mean,0.08866121465200186
22,23,AnionGAP+100%mean,0.08226120441683908
23,24,PaO2+100%mean,0.07025864580977799
24,25,Kreatinin+100%mean,0.0685937147893113
25,26,Bmi+100%mean,0.06690504550501623
26,27,Hb+100%mean,0.06467222882298566
27,28,Weight+100%mean,0.06434845497704518
28,29,Sex,0.04380645380645476
29,30,Bilirubin+100%mean,0.028720179640738308
