,rank,feature,mean_abs_shap
0,1,FiO2+100%mean,0.5851381553526211
1,2,Lactate+100%mean,0.4896457984883445
2,3,GCST+100%mean,0.3892607532744298
3,4,Natrium+100%mean,0.31127130909288836
4,5,Age,0.29307883140660834
5,6,Thrombocyten+100%mean,0.2636528325117819
6,7,Leukocyten+100%mean,0.24246876547289764
7,8,Temp+100%mean,0.21964838938065973
8,9,Urea+100%mean,0.2139737302327753
9,10,PaCO2+100%mean,0.20191032407167248
10,11,Quick+100%mean,0.17409892829808388
11,12,ASAT+100%mean,0.15246415241601619
12,13,Albumin+100%mean,0.14533023768626818
13,14,Kreatinin+100%mean,0.14520132463743088
14,15,HR+100%mean,0.13928148524229156
15,16,MBP+100%mean,0.1310925055577009
16,17,Ph+100%mean,0.12236318376956967
17,18,GLU+100%mean,0.10289227208040858
18,19,Kalium+100%mean,0.10145274082308556
19,20,HCO3+100%mean,0.0970784511728174
20,21,Height+100%mean,0.09653518926262285
21,22,ALAT+100%mean,0.08559062188295805
22,23,Bilirubin+100%mean,0.08475988652726082
23,24,AnionGAP+100%mean,0.08391873942956928
24,25,PaO2+100%mean,0.08297055617473603
25,26,Weight+100%mean,0.07103777657487577
26,27,Hb+100%mean,0.06926002415497146
27,28,RR+100%mean,0.06858107976169121
28,29,Bmi+100%mean,0.04069689253653615
29,30,Sex,0.0358709849212586
