,rank,feature,mean_abs_shap
0,1,FiO2+100%mean,0.5772173865913715
1,2,Lactate+100%mean,0.49559188724659
2,3,GCST+100%mean,0.39208930034102657
3,4,Natrium+100%mean,0.31374352884672413
4,5,Age,0.29225325537516234
5,6,Thrombocyten+100%mean,0.25733922910088997
6,7,Leukocyten+100%mean,0.24712015458519032
7,8,Temp+100%mean,0.22102601073332592
8,9,Urea+100%mean,0.2157497424629722
9,10,PaCO2+100%mean,0.2063546384907322
10,11,Quick+100%mean,0.1732535104258655
11,12,ASAT+100%mean,0.15690461808368297
12,13,Albumin+100%mean,0.14773551219898642
13,14,Kreatinin+100%mean,0.14228548592076154
14,15,HR+100%mean,0.13923895252399687
15,16,MBP+100%mean,0.13343003296391703
16,17,Ph+100%mean,0.12542631139525148
17,18,GLU+100%mean,0.10588516636081627
18,19,Kalium+100%mean,0.10219629183155782
19,20,HCO3+100%mean,0.09817926841024883
20,21,Height+100%mean,0.0958568582098494
21,22,AnionGAP+100%mean,0.08534230457701343
22,23,Bilirubin+100%mean,0.08393158442534505
23,24,PaO2+100%mean,0.08355633765973226
24,25,ALAT+100%mean,0.08277838570832191
25,26,Weight+100%mean,0.07022421647077078
26,27,Hb+100%mean,0.06722328871443231
27,28,RR+100%mean,0.06694727174882695
28,29,Bmi+100%mean,0.04144601803967966
29,30,Sex,0.036939042237964244
